label,x_train
positive,What could have made Sunday even better for @CIMBClassic champ Nick Watney? The fact that he's a huge @SFGiants fan. #WorldSeries
neutral,"@AcriteSoulja have Trina call me when you get there, I'm tryna go by there tomorrow"
neutral,may as well sign up Scott Dann and Roger Johnson whilst your at it.
neutral,"Monday Night Football is on tonight, right? #NFL #wishfulthinking"
positive,Mix six pack from Warners at the Bay tonight. Bitter &amp; Twisted Beer Festival tomorrow. I love my #craftbeer
neutral,@eczemasupport We usually get President's Day in February before 2 wks for Spring Break in March. That'll be it til May 31 for Summer Break.
neutral,and i justed posted on local-83 and someone said they were coming around 3-4ish .
positive,Mr Gary Barlow you look hot on X Factor tonight :)
neutral,"guys the Trayvon Martin case doesn't start til JUNE 10,TWENTY THIRTEEN!!! #STEEP #GRADUATION"
negative,@rattlecans the mere mention of Catholics makes my blood rise - and I was raised catholic. Rejected somewhere around 5th grade.
positive,"Khader Adnan is a hero, he's the Palestinian spring and hopefully the spark of a 3rd intifada. #KhaderExists"
neutral,Lauryn Hill's going to be at Constitution Hall on   November 4th &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt; I'm in there like swimwear !!!
positive,Los Angeles Galaxy (Official Site) &gt;&gt; Wilhelmsson hopes to make LA debut Friday vs. Rapids http://t.co/6NAmIStY
neutral,A three-month-old boy was found abandoned at a platform of the Chhatrapati Shivaji Terminus (CST) on Saturday night. http://t.co/qffIfZNN
neutral,Saturday has been reserved for the Eagles of Death Metal.
negative,Oki... Think i\u2019m confused... I only know that it\u2019s at paragon... Dunno where you referring to...
neutral,then  echo into a log\u002c then u  can  publish into a log and make a movie
positive,"We're in the studio working on the new album and it sounds EPIC. We may as well pick up our Brit Award now, tbh."
positive,"this is  a big month for us!  tomorrow we're playing in Davis at the Whole Earth Festival, then kicking off our... http://t.co/lxF1hoHa"
neutral,"The Crown Inn, Lechlade summer beer festival starts tonight!  &amp; don't miss Lechlade Cricket Club big car boot sale on Monday at 1pm"
neutral,"Wednesday's Laugh:  ESKOM:  A little old lady answered a knock on the door one day, only to be confronted by a... http://t.co/MmwqsXvh"
positive,Plant City is babysitting NYC palm trees for the winter. Crap like this cracks me up! http://t.co/BmJAFvCA
positive,PJ Harvey or King Creosote would be deserving winners of the #Mercury2011 prize tonight but think Tinie Tempah will nick it
neutral,"All you need to know about the ref for Sunday's game, Martin Atkinson: http://t.co/CSzbm2jG? Sunderland v Newcastle #NUFC #SAFC"
positive,"I just finished Dexter, Season 5. I seriously can't wait until Season 6 on October 2! Check out the trailer for it here. http://t.co/HLLs3oQ"
positive,@Serious_Sound yeah that's wha I'm doing tomorrow. Your topic seems interesting as fuck. Lol my shit is on Malcolm X. But ima just
positive,"@thewovenword ....is @ericwfoster going as that ""Upwards Kid"" that he played so well on Sunday night??!! ....with his prop/friend, ""Adidas""?"
positive,Janowicz was #221 in January and the win over Murray today takes him to #46 - Good year! Mega potential! #36 if he beats Tipsarevic.
neutral,RT/rationalsupport2012DOORS Next Generation Beta 3 - We pleased to announce availability of the 3rd installment for DOORS Next Genera...
negative,Time for James Harden (34 Points) to step aside and let Jeremy Lin Takeover the 4th #Linsanity #Sarcasm
neutral,"Uploading a new video tomorrow! Nandito Ako (Jonya) FANVID, The first cut is the deepest (Cover) &amp; Elevator - David Archuleta (Short Cover)."
positive,"October 17th - November 3rd, Don't miss the Company of Fools performance of The Woman In Black!! http://t.co/acSv9rKl"
neutral,@dirty_platano @giox420 nigga I'm stoned I just got back from a blunt ride thur boxford nd Georgetown @SmokingGreat
negative,"If anyone comes to school with the Galaxy Foams tomorrow , I'm mugging them ."
neutral,It's Conference Championship Weekend at NCS!! Come out tomorrow to cheer our Raiders on to Victory in the VIC and... http://t.co/UqqFjVda
neutral,"@missDCdarling We've got Leonardo da Vinci: Painter at the Court of Milan coming up in November, how does that sound? http://t.co/U0dHRjy"
positive,: P) I will e-mail details if you prefer ..
neutral,Cofield draws leadoff walk in top 4th. Zaharion at the plate.
neutral,"Hoya, Sungyeol and sungjong with Bae yong jun. look..sungyeol's hand! http://t.co/0qXMyy9J"
negative,"Goodnight,Irene.Al,you are easily amused. This club stinks.I think that the Brewers may upset the apple cart and win the NL pennant."
neutral,Use the src one lor
positive,Yelling I'm so proud of my son TRAYVON he'll be getting acknowledge in tomorrow assembly he is STUDENT OF THE MONTH. JUST THANKING GOD!
positive,"Some ""Baby Boom"" with Diane Keaton and corn flakes - Happy Monday!"
negative,"DTN USA: Charlie Sheen's 'winning' ways get roasted: He may have looked like he was ""winning,"" but actor C... http://t.co/U9qioaI"
positive,Happy Friday! We do believe in Magic? What about you? http://t.co/via3HM34
neutral,#Google #Hot #Trend Eva Longoria to appear with Obama Thursday http://t.co/X2ZayOOI #TeamFollowBack GDNews
neutral,@dubstephh_ down to blaze with Joe and I tomorrow?
negative,"Golf Capsules: Nick Watney missed a chance for a 59 on Sunday in his CIMB Classic victory, closing with a course... http://t.co/qexkrHIG"
positive,hey al.. thanx for e gift.. haha.. u haf a wonderful time!!
neutral,@SeoulSausage When do you plan on coming down to the LONG BEACH or the O.C. area? Los Alamitos has a food truck fair on thursday nights.
positive,Don't forget that the amazing Georgie Fame is bringing his smooth style Rhythm &amp; Blues and his famous Hammond organ to @The_Millfield 14 Nov
positive,Im getting horny Hey that reminds me is it the 19th yet? New two and a half men and/or roast of Charlie Sheen
neutral,@rugbyworldcup Five year old decided he needed to follow a 2nd team when ABs not playing. Which one? After alot of thought: Tonga
neutral,Ã come lt 25 n pass to me lar
positive,And Rhonda Rousey has officially won by armbar..for the 6th time. 6-0.
positive,"Join us next Thursday for this screening at the Creative Alliance (I'm in the movie!!). It should be a great,... http://t.co/jQSBF8j1"
neutral,I woke up to see the sun shining all around me... Yoko Kanno on Pandora http://t.co/wU8lj60R  #pandora
neutral,My trick or treating will happen tomorrow night..at Walgreens....in the candy aisle.
neutral,Tuesday is the 34th anniversary of the death of Elvis Presley? Watercooler ? What is Elvis' biggest selling single?
positive,Tonight's the decider -- will I be at the Garden friday night for Knicks/Heat game 6? Here's hoping for a miracle...
neutral,@mikepib @matthewroesch I was confused as well. I guess it's always Saturday Night at the Ritz Carlton. Oooh lala.
negative,"this looks fucking disgusting , does anyone have any first or second hand experience with such a hideous invention ?"
positive,Just landed in Las Vegas!!! So excited to start canvassing for Obama tomorrow with @schuy_g and @Kimbemo! :) #GetOutTheVote
neutral,IEBC is prepared to hold the elections on 4th of March 2013-  Chairman
neutral,Just put a bet in for tomorrow night already. Never did this before. Miami Heat -5.5 against the Knicks.
neutral,@mw55 what do you expect Thursday? Are you going to pull out that Mikey Magic on Duels day again? #hopeso
neutral,NFL Lions News: Lions rookie RB Mikel Leshoure went down with an apparent leg injury during practice this morning... http://fb.me/16LugiFDd
negative,Gresh and Zo discussed the Celtics season opener loss to the Heat on Tuesday night.  Rajon http://t.co/sbo3Q3Kc
neutral,Camp Notebook Day 10: The Raiders took the field for their 10th practice of training camp and started to prepare for... http://dlvr.it/fRj82
positive,"I'm late but, I just watched ""Good Deeds"" for the 1st time. Awesome movie! Cried thru most of it. Turned 30 and got sensitive as hell."
neutral,Top TEN strikers who are on the Premier League's January wishlist http://t.co/BBN99w2D via @FootballFanCast
neutral,I have to wake up at 7 tomorrow. I gotta be at the Pomona Fairplex by 9:45
positive,The nicest teacher in the world (Mr. Rocha) gave us an extra day for our hw and I still didn't do it!! Guess who's waking up early tomorrow.
neutral,"Tomorrow at 12pm, you will finally be able to watch Filthy Rich clip in youtube #FilthyRichClip"
positive,"@scottcarefoot @JosephCasciaro why would the Raps kick the tires on Jordan Farmar?  Would be a solid backup, even better 3rd string."
neutral,#2 Divison III offense in the nation vs. The best team we've played this Saturday
negative,"okay tomorrow is hell day. can't wait to get in my car and drive home as fast as humanly possible. call me danica patrick, if you must"
neutral,Shopping after the Bell Game Saturday .
neutral,Nigeria may parade a weakened team against Ghana on tuesday as most of the first players are yet to secure UK entry visas
negative,Physics tomorrow is going to be a shit show
neutral,@team_hazza1D I'm going over to britain and Ireland's next top mode and jls are performing on the Monday and that's the day I was supposed
negative,@matt02392 is on the radio instead. MT @WaterlooRd: It's the first week without any Waterloo Road. Going to be a boring Thursday.
positive,But I had like to know what I should do with it .
neutral,"Playing as the Browns HC K. Fri in #Madden13, XFacalac lost to the Ravens 21-28 on All-Madden #ConnectedCareers"
neutral,"Europe AA prices may firm on Asian supply, but not in Q4 - buyers: LONDON (ICIS)--Buyers in the European acrylat... http://t.co/4Y9gYzLu"
neutral,"Working the Celebrity Power106 game saturday at CalState LA $12 at the door. Gonna be with Kendrick Lamar, Rick Ross, Clyde Carson, ect."
negative,Michael  Just heard Green Day's 'Time of our life' for the 1st time since leaving florida and i burst into tears. I miss...  Penderg
positive,i still check on a regular basis .
negative,@queensarmsbar not a very attractive line up. Have you got Mackems v. Mags tomorrow?
positive,Good luck to all the people taking the OGT's tomorrow! #StayFocus #EatUp
positive,Hope @elianacwg_31  lives it up tonight.. love you mama.. Will visit Dallas soon :))
neutral,Bolton Society for Blind People are bringing Vegas to Bolton with a Charity Dinner on 23 Sep http://t.co/4mvokMM Please RT xx #BSBP
neutral,Senior ads and quotes for the Yearbook are due TOMORROW!
neutral,"If you guys are in the Fresno area tomorrow evening go hang out with us at Kuppajoes! We're playing with Limits,... http://t.co/uorb1bAV"
positive,"If you haven't seen your Good Giving Guide yet, check it out online.  The Challenge starts Nov 1 - we appreciate your support!..."
neutral,http://t.co/dDManpTd: Check Out the Box Art for Tomb Raider: What do we think? The new Tomb Raider is out March 5... http://t.co/62gKkQrH
positive,u should put some effort on updating more frequently .
positive,"Knaus tells Johnson, ""Good news is we're only 27th"" where he started but they were 4th before their problems. JJ says going to the front"
neutral,1st photo with my Galaxy S II and my gfs little rotten apple http://t.co/0TJCTnVe
neutral,Police: you have the right to remain silent. what ever you say may be hel against you Me: Harry Styles
positive,"Aww love you Austin Rivers and happy to see you get start in 1st NBA game...but it's against my boys, LETS GO SPURS! #Spurs #NBA"
neutral,Kathy Walsh has Kentucky Derby winning jockey Mario Gutierrez in the irons on Thursday October 11th when Duke... http://t.co/V3hN4C0y
negative,"@HartHanson :( For what it's worth, I thought The Finder was a funny, clever show. Sad it didn't even get a 2nd season."
neutral,Who starts at QB on Friday? I'd play Nichols. Have said that all year. He had a big Q4 with key targets and has already played Calgary.
neutral,"Capt and Chloe were at the Fall For Horses event at the New Jersey Horse Park on Sunday in Allentown, NJ and had... http://t.co/MwnmfohI"
negative,@moomnaliaqat no problem! BOI YOU BEST BE AT RIM TOMORROW lol there is like no one going to rim.. and LOL I really dont wanna go to school..
positive,"TONS of hw tomorrow, lunch date with joey, back to hw, then magic mike with ash&amp;co. before bed :)"
negative,@turbohat a few speculating that the 3 had heat/power issues &amp; 4th gen resolves this. But I have heard nothing around these probs on iPad3
neutral,if u busy\u002c maybe we meet next time lor..
positive,Looking forward to some March Fourth Marching Band madness tonight at @LevittShell
negative,@SuperGirlonline who starts college on 15th It's like prison on independence day. thought she's just 2yrs elder den u
negative,@cluckingb3ll well tomorrow you have to share a bed with ash.............i dont really know what is worse!!
positive,"@woolimboys Oppa you may have ur style like Hoya oppa.Dun worry,even now,you have a lot of fans , like me !!"
neutral,Watch the 2012 Independent Spirit Awards THIS SATURDAY and chat live with @ChrisGethard and @mattsinger http://t.co/8dhxZ4sB
neutral,@Lagana @JohnAsHimself either of you LA guys going to Summerslam on Sunday?
negative,"it's ages since I had KFC, well apart from the mush in a bun that passed as breakfast last SUnday, that doesn't count though"
positive,"Shaquille O'Neal All-Star comedy jam @ DAR Constitution Hall Sat. 8pm Nov 3, 2012 Washington DC.. Looks like it will be a great show!!"
positive,Especially since the guy would have been ridic attractive had he JUST SHAVED HIS HEAD OMG .
negative,Ok lor u gd lor... U also forgot who ur gf is wat... So we jus forget abt each other lor...
positive,I'm going to ace my anatomy test tomorrow!
neutral,Watching Joseph Prince. Getting fed. U may think it but u don't have to say it. Speak Gods words. #Pastor #faith #Word
neutral,Tmr 1 pm.. Why leh\u002c u coming to school ah? So u have ur haircut?
neutral,Springsteen is here Sat but if that's not your thing Rick Ross will be in Lexington the same night at @Rupp_Arena http://t.co/7SX6vy0r
neutral,OMG!!! Ramin and Sierra performing Phantom of the opera at the classical brit awards televised on sunday ITV at 10.30pm!!!! :D
negative,Open source misconceptions fading: IT Web: South Africa may be up to five years behind the rest of the world in ... http://t.co/nYfW52Nf
neutral,can u help me bu the abalone in can one? My mum wan to buy. c if convenient then help me buy 2-3 cans\u002c can? thx a lot!
positive,Chillin in traffic listening to Wiz. Taylor Allderdice is my favorite mix tape of his. Actually it may be in my top 10 period
positive,Ponting may make history fir Australian cricket: &lt;p&gt;&amp;nbsp;&lt;/p&gt;&lt;p&gt;Ricky Ponting could break Steve Waugh&amp;nbsp;s re... http://t.co/hYgsOH6W
negative,Danny Care may be the best scrum half England have but he's still a massive c-bomb
positive,"2NE1 rocks Okinawa with stylish airport fashion: On 2012 October 28th, http://t.co/QBdMM5RK"
positive,"Watching ""The Announcement"" on @espn about #Magic Johnson. Amazing documentary- a must watch."
positive,My moms under the hilarious impression that I'm spending my saturday loading &amp; unloading furniture from trailers in natchitoches
neutral,"so this friday theres an open mic in ajax we're gunna test out some tunes at. anyone can play, if you wanna experiment with a crowd, holla!"
positive,"Come out and have some laughs with Me, Spartacus, and Max at Caroline's Comedy Club this Wednesday October 24th!... http://t.co/byrH1xy8"
neutral,"Back in the day when Catholics ate fish every Friday, our school thought it'd serve for lunch the best of both worlds:  tunafish hot dogs."
neutral,"Your 3rd gen. iPad with Retina display is worth a lot of money, especially at Amazon (MacDailyNews/MacDailyNews) http://t.co/sUfoNKMk"
negative,.@FoxNews Amanda Knox who lied repeatedly & cleaned with bleach that morning is no innocent petal
neutral,@oceanrecords lets bounce to Wrestlemania 29th in NYC.  Undertaker is truly the last one left of the 90s era. The Rock gon compete too
neutral,5th ward bout to run nitemoves tonight
positive,We want to wish good luck to all our Red Stars that are kicking off their college season tonight around the country! We'll recap on Monday.
negative,"@_mariaaaaaaah That's what I figured. We suspect you may be experiencing some issues related to the storm, Maria. We're working on it! ^DGM"
neutral,"Can someone txt me/ @ reply me if we get any SWR related news tonight, I'll be at young adults at Church so no Internet."
neutral,Hey... Thk we juz go accordin to wat we discussed yest lor\u002c except no kb on sun... Cos there\u2019s nt much lesson to go if we attend kb on sat...
positive,"@lyla95 I put it on my laptop a while back, I thought it may be a little boring, but it's surprisingly not, plus it's hosted by Hammond;)"
neutral,"Eric Adelson with the slam: ""(Flacco) looked more like Blaine Gabbert than Eli Manning on Sunday."" #Ravens"
negative,Wow. Tiger fires a 63 but not good enough.  Nick Watney shoots a 59 if he birdies the 18th?!? #sick
positive,Robert Pattinson paid tribute to his Bel Ami co-star Uma Thurman as he presented her with an award at the 19th W ...  http://t.co/DiAJVN1V
positive,U good lor. Now i really hungry. E food there nice?
positive,@BabyBaileyBear [He smiled] It depends what type of books you like to read. I like James Pattinson. They may not have those here..
neutral,Vanuatu goes to the polls on 30 October. You can follow the progress on the Pacific Policy website. http://t.co/PWJ1aEbQ
positive,As Port Charles struggles to come to grips with Jason's disappearance...a shocking return!  Tomorrow's episode is can't miss!  Watch #GH!
positive,Delicious warm sun...great to see you (if only briefly) after hurricane sandy whipped through here a couple hours ago.
neutral,"See you at the Houston Improv, TOMORROW, 9/25, National Voter Registration Day for a FREE SHOW - ""Vote for Your... http://t.co/8xbDBAFc"
positive,"Danielle I believe prom dresses are made in order to advertise cake , yes cake ."
positive,"All I want for my 16th birthday are Taylor Swift tickets. No party, just tickets."
positive,Just got my tickets for the edinburgh derby on sunday #hibeees
positive,@franhalsall you in london on wednesday? we're being tourists with my brother's Merlin pass!! hope you're having a good break :)
neutral,Reminder July 22nd @ 3pm i will be hosting an Open Lobby on the Livestream http://t.co/dDj8jAZc
neutral,victor cruz isnt himself today........i know he'll get it together in the 2nd half
positive,#Ramadan #mubarak to all #Muslims who have began early. May Allah bless our souls now and forever with Good Deeds.
negative,Watching the #49ers game from Sunday night and I see why Cliff Avril was throwing fits. He was getting his butt kicked all night
positive,We've just sampled some of Greg's DELICIOUS pretzels for our German themed boardroom dinner tomorrow! Yummy!
neutral,"Calm before the storm. I am ready!!! ""Good Girl, Bad Girl"" stage play tomorrow at FABC! After this show, up next is, ""Don't Judge Me."""
neutral,"We has our first meet in London from 1-4pm Saturday, 3/11/12   Then we have one in Belgium on the  8/11/12 which is 11-2pm   Be There!"
neutral,"We also bought seasons 8 , 9 and 10 ."
neutral,Tomorrow I'm downloading some Chance the Rapper and Nipsey Hussle
positive,"My 1st tweet, chose you @KellyRipa, saw u in Banff, thankful our snow isn't as damaging as the weather you're dealing with!  Keep safe &amp; dry"
neutral,Y'all don't forget about my going away pool party! This Saturday at Knollwood at 3pm!
positive,Red Wolves hoops picked to finish second in their Sun Belt division. I want to believe. I want to believe. I want to believe.
neutral,Jason Vernau Live @SurfComber March 16 th 2012 Miami WMC Pool Party with Robbie Rivera &amp; Friends by @DJjasonVernau http://t.co/RR8lblAN
neutral,#FLEXTHURSDAY !! DIS THURSDAY!!!!!wit @FLEXCREWgotti @DA CROWS NEST WE CALLN OUT DA WHOL SOUF KUM KICK it Wit #PINKCITY!!!!!!!
negative,#GoTexans v. the dirty #Jets football team on MNF tonight -
negative,Toni Gonzaga will be in Legazpi on October 30. Huhuhuhu. I wanna cry i want to come but how? I dont have money. Waaaah @ToniGfanpage
neutral,@borntorun703 @jolynn_giancola @cece_giancola @HeatonO @ReganOHara1 game night at the ONeil household tomorrow @6 #BeThere
positive,"Gonna be at SM Sta. Rosa today 4pm with Krissy &amp; October 17 with Jasmine Curtis, Khalil Ramos &amp; Enrique Gil @ MOA See youuuu"
neutral,@Aaron_LW well I'm currently on holiday in Portugal coming home tomorrow then going to Poland on Tuesday for a holocaust memorial trip!
negative,@BasedLaRock looks like I'm going to do that 1st &amp; I have yet to play the RE:Operation Raccoon City game its always out of stock on redbox
positive,Aquino on Enrile's memoirs: May all of us seek in this book the lessons that will allow us to advance as a people
neutral,"Haggins flipped by Hoya linebacker, but he gets the 1st down!  1st and goal at the 5!"
positive,"Volunteering 4 the Obama campaign this AM! But I keep waitin 4 #Olivia to come in yelling ""Super Tuesday is coming people!"" @KerryWashington"
positive,The Landlord from Will Ferrell.avi http://t.co/9kOvDJ4J via @youtube  This will cure the Monday blues. Funny funny shit
neutral,"Got new Aesop Rock, Master Ace &amp; DOOM, Nas, Flatbush Zombies, Jon Connor, &amp; Cyhi ready for the flight tomorrow, been sleepin on lots of shit"
positive,Capello says time for Russia to win big match: Russia manager Fabio Capello on Thursday said that he intended to... http://t.co/EFc5Cfng
neutral,"When ""columbus"" shoots Bill Murray in zombieland it may be one of the funniest things ever."
positive,I guess I'm going to watch Anderson Silva whop a nigga ass while drinking Grey Goose tonight
positive,Its the 13th!  Happy Swift Day!!! :) http://t.co/VCHDAtWH
neutral,"Hot Springs to Mt. Nebo last Sunday with wife driving a Ferrari? Not, my wifes Hyundai Veloster Cool Po Folks... http://t.co/dk8ehseE"
neutral,Land conservation announcement Monday: Gov. Mitch Daniels and Lt. Gov. Becky Skillman will make a lan... http://t.co/5Srsx6J1 #nashville
neutral,"I've never sat through an episode of ""Gossip Girl"" which does not inhibit me from calling it ""Jim Henson's Bret Easton Ellis Babies"""
positive,"I may never become First Horse, but I tore London a new one at the Summer Olympics, and no one can ever take that away from me. #TeamUSA"
neutral,Amen RT @LeonKilledParis May the Universe guide Tony Romo's arms and eyes toward Jason Witten. And May Jason (cont) http://t.co/MYoGMSq
neutral,Raymond's been busy and we have homemade Gingerbread with lemon icing for tomorrow's homemade cake.  Soups will... http://t.co/6hcOhvvb
negative,"Apple Can't Innovate or Manage Supply Chain: CUPERTINO, CA - OCTOBER 04: Apple CEO Tim Cook speaks at the event introducing the new i..."
neutral,@spinenumber408 Then I will refrain from telling you about my plan to watch Mysterious Island with my son tomorrow night.  (He's 6)
positive,"Final Destination 5, August 24. Death how we've missed you."
neutral,Dwayne Bravo and Darren Sammy will donate their match fees from the 3rd ODI to the wife of Runako Morton...!! #WI
positive,Who wants to go to a haunted house with me on Friday only 12$ with college ID!!!
positive,Mark Cuban: Apple TV Is a Pipe Dream And why the HDNet founder thinks that may be a good thing (Mike Shields/Adw... http://t.co/L0ebf8hC
neutral,"@genuine_rp true. First is valid (I have 3). 2nd is misguided. More likely to have it taken &amp; used against you, or used ala Trayvon Martin"
positive,@TheReidReport &amp; if the POTUS wins 2nd term isn't that NJ gov gonna go back to bashing him when his state is in better shape (2/2)
positive,RT @msolveig: We love Italy ! Tonight in Marina di Pietrasanta with @IamLafaille
neutral,@SteveRattner @JoeNBC @morningmika My friends and I are betting Joe wets his pants when he sees the whopping Mittens will get Nov 6
neutral,"Saw X-Men: First Class last night. Still gotta see Captain America, Transformers, Cowboys & Aliens and Rise of the Planet of the Apes #whew"
neutral,the reziduals at Stevie Starlite's Jam Night at Southside's in Alsip TONIGHT 10PM &amp; we're hosting our own at Murphy's Law this Friday!
positive,"Her is a Chevy Spark in Dons favorite color.  I may joke, but this color sells out as soon as the dealer gets... http://t.co/kLn7KSdr"
neutral,"Preparing a Saturday roast, meanwhile Rick Stein criticises modern film on the telly. The world has gone slightly backwards."
positive,Can Channing Tatum be a stripper again just for me on my 18th Birthday?! ;)
neutral,Meetings in Edmonton tomorrow morning. Shopping in the afternoon. Football game in the evening. Drinks afterwards? Where?
neutral,"Come on Andy. Kids are in bed. Dinner is out of the way. 2nd beer is open. 50"" HD TV is on. Play your game. #Wimbledon2012"
positive,@ritaora Us UK bots cannot wait for your arrival tomorrow! We love you Rita! X
negative,"@zinsernyt Not sure if the marathon should happen, but by ignoring Saturday's Nets game that is still on, I find this article deceptive"
negative,i think maybe yck loh.still need to go ch so troublesome..
neutral,Taiwan court extends ex-leader's jail term - TAIPEI: Taiwan's high court said Friday it has extended ex-leader Chen ... http://t.co/FUADCEfb
positive,Girls Gone Wild gon be at my school Thursday shit gon be crazzzzyy make sure I be my ass on campus lol #NPU
positive,"@snap_kaka_pop Just sent the #ffc Unibet preview for tomorrow through and, by the way, Louis Saha's genuinely two-footed."
neutral,Lil Wayne Gets Intimate With Nicki Minaj's Lips! Caught Red Handed at the NBA All-Star Game (Exclusive Photos/Video) http://t.co/6EipSeEf
positive,"I can't wait for the Sunderland vs Newcastle, 3rd best Derby in England, after Manchester and North London Derby. I'd prefer a Newcastle win"
neutral,#WAOK The Sports Kings: UGA Gets Ready For Boise State!: Yesterday No. 19 Georgia scrimmaged against the Bull... http://t.co/Gt1Ito7
neutral,Coming to DC: Open Acting Workshop with Tom Todoroff on Nov 14th #constantcontact http://t.co/ZeKC38jm
neutral,"Hey Nevada tweeps remember TOMORROW is the last day for EARLY VOTING!  Ready, Set &amp; Vote! #JustDoIt!"
neutral,"It's going to be a somber set tonight for Curtis Painter's Nickelback cover band, Something In Your Mouth."
neutral,"According to the radio, Rihanna's Birthday Cake is the official 4th of July anthem. Sounds about right."
positive,U gd lor go shopping i got stuff to do. U wan 2 watch infernal affairs a not? Come lar...
positive,The Donkey Show - Friday the 13th is an exciting day for the Adrienne Arsht Center of the Performing Arts in... http://t.co/bBWutUD0
neutral,FM Preview: West Ham United v Sunderland 22 Sep 2012 - FootyMad attempt to assist you with their form guide as West ... http://t.co/vYmrr56h
positive,"So pretty much im gonna believe that myt 10,000th tweet will come sometime tonight during the MNF game Jets at Texans on ESPN"
neutral,It's like painting the Forth Bridge - but won't be for much longer! See Scotland on Sunday today
positive,"Enjoying my 1st time on Caltrain - bikes on the 1st floor, passengers on the 2nd floor. http://t.co/QO2tAnKe"
neutral,@Mariners Guti's catch at the wall in May against the Yankees at Safeco and Trayvon's catch are the leaders in the clubhouse.
positive,For the 1st time in 30 years.  For your splendiferous entertainment.  Arts in Lechlade proudly presents an OLD... http://t.co/Qg0XaxTV
negative,Just now starhub do survey. too bad no goodies...
positive,@gregallerston miss ya to buddy &lt;3 what you saying Monday night ? Down for The Kee wtb #HollaAtMe
negative,"Oh, gutted...Just seen the transfer window is closing tomorrow. Now what am I going to do for excitement?"
neutral,"All my Passengers I aplogize for the tardiness of The 2nd half of the Dual Single ""Magic"" but it's dropping soon...STAYTUNNED!!!!!!!!!!"
positive,"Up crazy early on a Sunday for the start of Ironman Wales. Good luck to everyone taking part, you're all amazing"
positive,TONITE IT GOES DOWN!!! STREET FM on 90.1FM in NY Broadcasting worldwide at www.wusb.fm OR watch inside the studio at www.justin.tv/streetfm
negative,"Seriously, the SAT is just the TAKS on steroids .___."
neutral,"Brand new updated logo, edited by David Taylor the new Executive Producer of ROC-TV. First introduction video will be up tomorrow!"
negative,"@muterundumo good argument, however ITS A GAMBLE that won't pay off, worse still I think the constitution has a deadline of Dec 4th"
neutral,How 's the rooming with Creepy going ?
negative,SS but they have really good music and it's a very sad thing that Mitch Lucker died may he rest in peace #RIPMitchLucker
neutral,Save the date: The World Bank's new Doing Business report will be out October 23
negative,Ok.. So sorry abt dat. I eat wif u on other day k.
neutral,Here it is : LLLINKKK Zeitgeist
positive,Good Morning Becky ! Thursday is going to be Fantastic ! @SwedenG @DJ4JG @Grdina @Paverlayer @FSBull @RevkahJC @DicksTrash @borderfox116
positive,"@Freak_Franchise  Make Sure you tune into @4playnation On http://t.co/S0IHr27X, tomorrow from 1pm to 3pm, Special Guest Young Savage"
positive,@TheFalcoholic Why. Do you really want the Falcons to go to Chicago in Jan for the NFC Championship game. GO LIONS.
neutral,Spending quality time with katherine louise and mileys smiley! Katie leaves indiana tomorrow. #sadtweet #gonnamissher #sad #gonnacry
neutral,"@rob strong @charcyb Anyone thinking of going to Chesterfield next Saturday, Edgar Davids v Luis Boa-Morte!? @Patriciacross &amp; I may be there"
neutral,@A_Collier The Galaxy S III will be available in select stores this weekend and in all MetroPCS stores and our website on Monday the 22nd.JG
neutral,Buses arrive in Henryville. First day back in original building since March 2 tornados destroyed school http://t.co/HuRu2UjG
negative,@Magwer84 And who had Maidana fought before the Khan fight? Hahahaha and he lost to Devon Alexander in February who is shit also! #clueless
neutral,BJP must clarify charges against Gadkari: Congress - The Congress Wednesday asked the Bharatiya Janata Party (BJP)...http://t.co/QPhXUtia
negative,"Apple CEO 'extremely sorry' for problems with new maps: Source: http://t.co/uKRV96Bg --- Sunday, September 30,... http://t.co/SiClT5TP"
positive,YES we have the NUFC vs West Brom LIVE on our tv's Newcastle United are back at ST JAMES PARK for the 1st time in... http://t.co/q2GjHsSI
negative,Weak D and a penalty set up a short TD run for Eastern.  'Cats 17-14 with 2:08 left in 1st half.
neutral,im spending my hole friday wit bo we gone blow sme keisha nd grab a pack of blacks nd watch the battle of lebron career vs. CARMELO ANTHONY
neutral,E admin building there? I might b slightly earlier... I\u2019ll call u when i\u2019m reaching...
neutral,I think my mom might buy me the box set bc i've been bugging her about MSG and i told her i'd give her $30 if she got it before november 14
negative,"The U16s game with shotton has been called off due to a waterlogged pitch, so they're now going to llani on wednesday night. Sorry lads!"
positive,Just about that time!!  NBA season jumps off tomorrow!! My preseason MVC's (most valuable cats) @TerrenceJones1 and @BrandonKnight07 #bbn
positive,"Interactive TV may be the next big thing, but what are your real life thoughts on Apple TV? #iwishitwerebetter...shhh http://t.co/rXIvyAwC"
positive,@Fridayology Sounds good. So would Queen's Birthday holiday and Labour Day holidays then be on the following Tuesday? It's only fair
negative,"It's not Ben Howland's fault that Reeves Nelson has self control issues, and there's no way he gets fired with the recruits he has coming in"
positive,"Heard a great pub rumour last night ""Ireland has started printing punt and has the ability to swap back"" Do we even have a currency press?"
positive,"-but Saturday.. if you can make it to Monroe, please do so ! the after party for 3 different games is all in one. #GSU #JSU #ULL #ULM #Tech"
